day,day_of_week,hour,route_id,length_km,n_stops,traffic_index,rain,passengers,travel_time_min,fare_thb,diesel_l_per_km
0,0,5,R2-38,24.45,138,0.964,1.0,230,100.8,19.0,0.478
0,0,5,R1-1,23.73,107,0.874,1.0,167,80.7,19.0,0.475
0,0,5,R1-5,29.91,134,0.951,1.0,230,109.6,19.0,0.5
0,0,5,R4-60,35.56,200,0.954,1.0,421,145.4,19.0,0.522
0,0,5,RS2,51.33,108,0.966,1.0,183,142.9,19.0,0.585
0,0,6,R2-38,24.45,138,0.944,1.0,590,114.6,19.0,0.478
0,0,6,R1-1,23.73,107,0.934,1.0,450,98.4,19.0,0.475
0,0,6,R1-5,29.91,134,0.968,1.0,632,127.3,19.0,0.5
0,0,6,R4-60,35.56,200,0.931,1.0,824,166.7,19.0,0.522
0,0,6,RS2,51.33,108,0.947,1.0,413,153.1,19.0,0.585
0,0,7,R2-38,24.45,138,1.799,1.0,571,158.3,19.0,0.478
0,0,7,R1-1,23.73,107,1.774,1.0,470,140.9,19.0,0.475
0,0,7,R1-5,29.91,134,1.796,1.0,568,178.4,19.0,0.5
0,0,7,R4-60,35.56,200,1.711,1.0,800,220.3,19.0,0.522
0,0,7,RS2,51.33,108,1.758,1.0,463,243.5,19.0,0.585
0,0,8,R2-38,24.45,138,1.775,1.0,679,162.9,19.0,0.478
0,0,8,R1-1,23.73,107,1.871,1.0,538,147.5,19.0,0.475
0,0,8,R1-5,29.91,134,1.877,1.0,616,182.1,19.0,0.5
0,0,8,R4-60,35.56,200,1.805,1.0,1017,240.3,19.0,0.522
0,0,8,RS2,51.33,108,1.825,1.0,555,252.5,19.0,0.585
0,0,9,R2-38,24.45,138,1.934,1.0,546,162.8,19.0,0.478
0,0,9,R1-1,23.73,107,1.868,1.0,446,144.0,19.0,0.475
0,0,9,R1-5,29.91,134,1.935,1.0,590,186.6,19.0,0.5
0,0,9,R4-60,35.56,200,1.898,1.0,760,230.8,19.0,0.522
0,0,9,RS2,51.33,108,1.862,1.0,436,249.7,19.0,0.585
0,0,10,R2-38,24.45,138,0.936,1.0,283,101.5,19.0,0.478
0,0,10,R1-1,23.73,107,0.914,1.0,181,83.3,19.0,0.475
0,0,10,R1-5,29.91,134,0.985,1.0,200,109.3,19.0,0.5
0,0,10,R4-60,35.56,200,0.928,1.0,305,138.7,19.0,0.522
0,0,10,RS2,51.33,108,0.961,1.0,213,143.4,19.0,0.585
0,0,11,R2-38,24.45,138,1.24,1.0,350,121.5,19.0,0.478
0,0,11,R1-1,23.73,107,1.314,1.0,292,106.8,19.0,0.475
0,0,11,R1-5,29.91,134,1.255,1.0,300,127.7,19.0,0.5
0,0,11,R4-60,35.56,200,1.306,1.0,449,172.8,19.0,0.522
0,0,11,RS2,51.33,108,1.294,1.0,314,190.3,19.0,0.585
0,0,12,R2-38,24.45,138,1.298,1.0,280,118.9,19.0,0.478
0,0,12,R1-1,23.73,107,1.248,1.0,247,103.5,19.0,0.475
0,0,12,R1-5,29.91,134,1.324,1.0,333,134.3,19.0,0.5
0,0,12,R4-60,35.56,200,1.214,1.0,473,172.6,19.0,0.522
0,0,12,RS2,51.33,108,1.286,1.0,282,179.8,19.0,0.585
0,0,13,R2-38,24.45,138,1.242,1.0,355,117.5,19.0,0.478
0,0,13,R1-1,23.73,107,1.315,1.0,256,108.3,19.0,0.475
0,0,13,R1-5,29.91,134,1.275,1.0,319,133.5,19.0,0.5
